Name,BaseSalary,HRPercent,TRPercent,OtherPercent,PFPercent,ITPercent
Chris Taylor,83455,13,16,6,13,4
David Miller,87397,13,19,5,13,5
Michael Taylor,95576,18,13,9,12,7
David Brown,91943,18,12,8,9,7
Emily Jones,114154,25,14,15,8,4
Laura Taylor,57009,23,14,8,15,8
Laura Smith,95013,17,10,15,14,6
Emily Smith,49079,24,19,15,11,5
Jane Doe,91374,20,13,6,13,3
Emily Taylor,101170,22,19,10,8,7
Anna Johnson,60338,25,13,14,12,4
Alex Brown,112054,15,20,5,13,7
John Wilson,103228,20,14,5,11,5
Jane Brown,68899,11,15,6,12,4
John Williams,106475,18,12,12,14,8
Michael Johnson,113088,23,10,7,9,5
Laura Taylor,71933,14,17,15,10,6
Chris Wilson,74970,16,12,8,8,5
John Doe,101363,19,15,13,12,8
John Miller,76414,15,13,11,8,3
John Johnson,111930,10,18,14,9,8
Alex Brown,52327,25,18,13,13,8
Jane Miller,68907,13,14,10,8,4
David Johnson,89568,17,17,10,12,5
Jane Wilson,104715,15,15,12,14,3
John Miller,94326,11,12,15,12,7
Alex Johnson,114631,19,10,5,10,6
Sarah Taylor,90245,13,15,5,13,5
Jane Williams,94090,23,20,8,12,7
Sarah Johnson,52850,14,12,11,14,7
Jane Johnson,40417,20,18,5,15,4
Laura Miller,87329,20,16,8,11,4
Jane Davis,77192,21,20,10,11,7
Jane Williams,95818,19,12,6,13,8
Emily Davis,72115,21,10,7,10,4
Alex Taylor,96673,21,14,14,10,6
Michael Taylor,100766,11,10,9,10,7
Alex Taylor,51289,21,14,6,10,8
Jane Smith,111139,11,10,6,15,6
Sarah Wilson,48883,15,19,9,9,6
Alex Jones,70486,13,19,8,8,5
John Brown,54710,22,11,9,14,3
Alex Williams,65013,13,20,11,10,6
Michael Davis,55820,14,20,15,11,8
Chris Davis,84144,24,11,6,12,7
Laura Davis,40663,11,19,12,9,8
Sarah Johnson,46934,21,10,12,8,7
Laura Taylor,84321,25,17,8,9,8
Sarah Taylor,60701,21,20,13,14,4
Sarah Wilson,115005,18,17,8,13,8
Alex Miller,64607,24,12,6,8,6
Jane Davis,68666,12,19,7,11,3
Anna Doe,107048,10,13,8,12,5
Anna Jones,115730,22,19,14,12,5
John Davis,59364,16,12,10,10,7
Michael Smith,59573,12,16,11,15,8
John Davis,107778,22,17,11,12,7
Michael Taylor,117664,12,19,10,9,6
John Taylor,94954,11,10,14,15,7
Jane Williams,108670,12,10,11,10,6
Anna Brown,53465,21,18,12,15,3
Chris Taylor,96573,24,14,6,15,4
Anna Davis,60083,10,13,13,12,7
Laura Jones,45508,18,14,9,11,3
John Wilson,49185,14,10,5,12,3
Michael Miller,72965,12,14,12,9,3
Laura Taylor,93178,15,10,8,15,5
Sarah Taylor,78343,12,11,5,8,6
John Doe,74903,20,16,8,9,6
Sarah Smith,95608,23,18,13,8,6
Sarah Doe,77203,12,20,5,8,4
David Taylor,72468,10,13,9,10,8
Laura Brown,81478,23,18,11,13,5
Laura Brown,58149,24,15,7,15,7
John Miller,85122,23,10,10,11,6
Michael Wilson,42862,14,13,15,14,5
Michael Brown,65596,19,14,9,12,8
Michael Brown,60451,18,17,15,12,3
Jane Doe,68494,22,20,11,12,3
Sarah Taylor,85985,18,10,5,9,8
Jane Wilson,42309,19,11,12,10,7
Sarah Johnson,60149,22,19,6,9,5
Anna Miller,109731,18,18,12,12,6
Chris Miller,106779,23,18,5,15,3
Emily Williams,66718,24,11,9,11,3
Alex Taylor,56816,11,16,6,11,3
Michael Williams,84239,11,19,11,11,4
Alex Wilson,103373,19,12,9,8,3
Emily Williams,113058,20,17,6,13,3
Alex Wilson,109883,25,10,8,13,4
John Brown,78373,13,10,8,12,6
Jane Williams,80245,17,15,12,15,8
Michael Davis,51912,24,16,11,9,3
Anna Smith,115064,13,19,5,12,8
Michael Davis,92041,10,12,13,10,7
Emily Brown,87376,18,15,7,9,8
Chris Wilson,56585,23,16,15,14,3
Sarah Williams,56002,24,17,8,13,6
John Doe,47787,15,11,11,12,7
Anna Miller,94104,25,16,10,11,7
John Williams,77741,22,12,9,10,7
David Smith,73440,10,13,6,13,7
Laura Davis,92545,21,15,10,13,7
Michael Doe,58149,13,19,8,14,4
Alex Smith,116907,16,19,5,12,8
Michael Smith,98040,24,18,5,14,3
Sarah Miller,53980,23,16,7,9,4
Laura Miller,63749,10,20,5,9,3
David Johnson,118430,18,14,13,13,3
John Davis,66781,12,20,5,14,4
Laura Brown,108531,21,17,10,13,3
Sarah Jones,42110,19,20,15,12,3
Michael Jones,112608,21,12,13,12,5
Laura Brown,103862,22,18,5,11,3
Alex Johnson,48914,20,19,9,8,5
Alex Wilson,67322,19,16,13,14,7
Anna Davis,55556,21,10,14,8,4
Michael Jones,80889,18,20,9,13,4
Jane Johnson,60710,22,18,12,15,5
Emily Wilson,46527,15,15,10,8,7
Michael Johnson,79803,13,15,13,8,8
Chris Williams,117479,17,14,7,15,8
Sarah Williams,91667,24,11,12,12,4
John Smith,44118,25,13,7,9,7
Sarah Davis,50896,20,16,7,15,4
Jane Brown,65756,16,10,7,12,8
Emily Williams,111556,18,20,9,12,8
Sarah Jones,59269,20,16,12,8,6
John Doe,82774,15,18,13,10,6
David Davis,74626,22,16,5,9,5
Alex Miller,98889,21,17,6,11,3
Anna Wilson,103168,24,11,14,15,8
Jane Taylor,96475,19,12,15,10,7
Sarah Smith,47144,21,11,15,10,4
Anna Smith,99451,18,11,7,8,6
Chris Jones,68433,21,17,6,12,8
Sarah Davis,61422,24,15,11,15,7
Laura Miller,111024,13,13,14,10,3
Jane Taylor,119202,18,12,6,10,5
John Wilson,56731,10,13,7,10,8
Jane Wilson,62581,20,13,8,8,7
John Williams,90434,13,10,6,14,7
Michael Davis,54648,10,19,10,14,5
Chris Williams,58786,10,11,10,14,6
Alex Taylor,105637,25,14,7,8,8
Michael Miller,107068,11,19,8,10,6
David Brown,51755,10,10,9,15,8
Anna Smith,104834,17,16,15,11,4
Anna Davis,118958,15,12,9,11,4
Anna Brown,64788,16,20,6,15,8
Anna Brown,50760,14,14,5,15,5
John Jones,98864,24,14,12,10,3
Michael Smith,114196,21,11,6,10,8
David Miller,86639,23,11,12,12,6
Laura Williams,50694,23,15,7,12,6
Sarah Taylor,84151,18,12,5,15,7
Sarah Johnson,93179,10,15,12,10,5
John Davis,42926,17,12,8,15,4
Laura Johnson,72163,10,11,7,9,6
Laura Doe,69174,15,15,15,15,8
Anna Doe,83221,23,10,12,10,5
Emily Jones,118571,11,14,12,12,8
Alex Miller,43443,11,20,12,8,6
David Miller,79029,18,18,15,9,7
Michael Smith,106555,11,16,15,11,5
Chris Doe,67489,18,19,12,12,7
David Davis,42594,17,13,10,10,7
Anna Miller,84297,11,12,12,15,5
Anna Taylor,103550,17,14,13,8,6
Michael Williams,83374,20,15,14,9,7
Jane Miller,49650,14,15,13,11,3
Alex Doe,117235,11,14,12,14,5
Sarah Wilson,41770,10,15,13,10,5
John Smith,107453,22,18,14,13,7
David Brown,76041,23,13,5,8,4
Alex Davis,89495,16,14,10,9,6
Anna Taylor,119884,14,15,7,15,7
Sarah Davis,119774,21,20,11,11,4
Laura Williams,72274,24,19,10,13,4
Chris Miller,57234,14,18,9,8,8
John Johnson,61813,10,14,15,11,4
David Williams,90289,13,16,8,15,3
Emily Miller,76954,10,11,9,8,4
Emily Brown,58453,10,18,9,11,5
Michael Wilson,42788,15,19,8,10,3
Michael Brown,68935,25,13,7,14,7
Anna Davis,99850,10,18,9,9,7
Emily Miller,119986,15,18,6,10,6
Chris Jones,57739,22,15,15,8,3
Emily Doe,92402,18,12,8,12,5
Emily Johnson,86236,11,18,13,14,4
Chris Davis,71378,23,16,14,14,4
Sarah Taylor,69859,16,18,12,10,6
Emily Davis,41074,25,10,13,15,7
Laura Wilson,94712,11,19,5,10,5
David Smith,107057,12,11,6,11,7
Jane Johnson,119936,25,13,12,13,3
Laura Jones,44521,22,16,9,14,3
David Doe,64033,14,16,7,13,5
David Doe,50682,16,12,9,11,7
Sarah Doe,51783,14,13,5,9,8
Sarah Jones,103482,25,14,6,11,4
Sarah Williams,87933,15,13,8,10,8
Laura Williams,68764,16,10,5,9,7
Anna Davis,58477,23,19,5,8,8
Anna Johnson,82433,25,16,13,11,3
Sarah Johnson,46012,19,14,14,14,6
Laura Taylor,61918,18,16,11,10,5
Sarah Johnson,105547,22,12,12,13,8
Jane Johnson,57575,12,12,11,12,4
Jane Davis,61341,20,20,7,8,7
Laura Doe,42658,23,10,12,14,3
John Johnson,43166,24,13,9,14,7
John Brown,94724,14,11,5,12,8
Laura Taylor,46676,12,16,12,12,5
Laura Taylor,102102,22,19,14,14,5
Jane Johnson,52648,20,16,7,14,8
John Miller,48324,17,10,7,13,5
David Johnson,43803,23,18,11,13,4
Anna Miller,68652,24,14,8,13,8
Sarah Smith,103890,19,13,13,12,8
Laura Jones,53812,21,14,12,12,7
Emily Davis,75269,23,18,10,8,6
David Miller,85947,12,15,14,12,3
Chris Brown,97481,23,12,11,15,4
John Davis,51994,12,16,8,15,3
John Davis,113662,17,12,11,12,5
Laura Taylor,72456,12,20,11,13,7
David Miller,69248,24,16,6,13,4
David Wilson,87695,13,18,13,14,5
Sarah Davis,91368,10,19,10,14,5
Jane Davis,68189,25,19,9,9,5
Emily Davis,105378,16,11,6,10,5
Laura Miller,109938,21,14,7,9,3
Anna Taylor,69133,12,18,11,12,8
Emily Taylor,89876,20,16,12,9,7
Sarah Johnson,98800,14,15,12,9,8
Jane Taylor,119733,11,10,13,14,4
Emily Doe,56283,14,12,7,8,6
Laura Brown,70093,13,14,13,9,7
Chris Taylor,89255,18,19,12,13,3
John Johnson,74219,16,17,6,8,8
Michael Brown,82686,17,19,6,13,8
David Johnson,82505,21,15,6,15,4
Emily Jones,115348,17,10,9,10,5
Laura Wilson,62229,21,19,12,11,3
Alex Williams,107457,13,13,8,10,3
John Williams,53248,14,10,6,13,6
Jane Taylor,75908,16,16,15,14,3
David Johnson,117076,14,12,10,11,4
David Jones,79696,20,16,6,10,4
David Johnson,49131,12,16,9,15,8
David Taylor,69988,13,10,7,11,7
Sarah Doe,89248,16,14,14,14,6
Sarah Doe,113662,23,10,15,8,5
Laura Doe,77528,20,15,10,13,4
Emily Jones,95205,16,18,9,10,6
Alex Wilson,59131,24,16,10,11,5
John Taylor,101378,17,10,12,13,7
David Davis,98719,16,13,8,9,6
Laura Williams,95737,20,10,13,10,5
Anna Williams,49804,15,18,12,9,6
Sarah Smith,110666,25,13,14,13,7
John Doe,97845,13,14,5,14,3
Emily Johnson,97705,17,10,8,9,8
Michael Taylor,75788,10,10,9,13,4
John Doe,105740,18,12,5,14,5
Anna Williams,61110,24,13,10,8,4
Michael Smith,59879,21,19,13,15,4
Jane Jones,84194,19,18,12,15,7
John Davis,104410,11,17,14,8,5
Sarah Wilson,86457,21,13,8,11,6
Jane Davis,98075,20,17,6,14,3
Michael Williams,86268,23,19,11,14,6
David Jones,111468,23,20,12,14,7
Laura Davis,97514,24,18,6,12,3
Alex Smith,87146,21,15,14,15,7
Alex Taylor,118191,19,10,14,13,6
Alex Johnson,111957,15,10,13,10,3
Michael Smith,96297,25,16,13,11,8
Alex Jones,115070,24,14,15,15,3
Laura Davis,51378,15,18,6,13,5
Alex Brown,48294,10,20,5,13,5
Laura Miller,91385,25,15,14,14,3
Anna Johnson,108416,17,13,11,14,7
Chris Doe,106886,11,18,15,13,3
Emily Miller,103263,19,16,10,8,4
Emily Williams,97107,21,11,12,13,5
Anna Davis,114208,11,17,14,8,4
Sarah Davis,84661,21,13,14,13,8
Emily Williams,95649,20,20,7,10,6
Emily Jones,94797,18,12,12,14,3
Chris Brown,42263,17,16,8,13,6
Jane Smith,69185,14,19,12,14,7
John Smith,66015,16,20,15,9,3
Laura Wilson,62753,20,11,5,13,5
Emily Miller,118978,21,12,11,14,5
Laura Miller,93835,24,17,7,14,5
Laura Smith,74914,20,16,8,8,4
Michael Williams,45197,18,20,9,12,4
Anna Smith,82886,23,11,7,8,7
Jane Brown,118663,19,19,5,9,6
David Davis,64970,14,11,6,13,7
Laura Davis,44510,19,10,7,13,7
Alex Doe,43672,25,19,9,10,3
Chris Jones,96548,16,19,6,9,5
Michael Wilson,78493,12,18,7,12,3
Chris Taylor,72046,13,19,10,13,6
