Name,BaseSalary,HRPercent,TRPercent,OtherPercent,PFPercent,ITPercent
David Williams,67269,13,12,13,10,8
Emily Jones,75602,14,18,12,13,5
David Johnson,73604,11,18,15,12,6
Jane Williams,82625,13,19,10,9,6
Anna Doe,61078,15,15,14,12,7
Michael Williams,93411,23,15,13,8,6
John Johnson,113684,25,19,13,15,8
John Wilson,65599,20,12,15,8,5
John Wilson,79366,22,13,7,12,3
Chris Wilson,80892,20,14,10,10,7
Laura Brown,114302,10,18,12,8,4
Emily Smith,96415,20,12,12,12,7
John Johnson,58338,21,18,14,11,3
Chris Davis,112415,17,18,12,8,7
Jane Williams,89697,22,13,7,11,5
Laura Jones,119465,21,15,11,11,6
Jane Taylor,93548,16,12,10,14,3
Emily Smith,109121,12,20,10,8,7
John Smith,117758,12,11,7,15,3
Laura Miller,70198,25,14,6,14,5
Alex Johnson,97448,17,17,6,11,7
Michael Williams,118050,17,10,10,10,4
Anna Jones,83133,23,17,12,11,8
Chris Wilson,99247,17,15,8,12,7
Anna Wilson,53025,24,20,6,9,7
Sarah Williams,61637,21,16,10,15,5
Emily Brown,45641,22,11,15,9,5
Laura Williams,92047,11,13,9,12,3
John Jones,75251,22,20,11,8,5
Emily Doe,114524,21,14,6,10,5
Jane Wilson,109305,14,12,15,9,5
Alex Taylor,109652,18,19,5,15,4
Anna Wilson,113660,18,20,6,14,7
Anna Doe,73087,20,20,13,11,7
Sarah Davis,92121,18,14,15,9,7
Michael Davis,45436,14,10,10,11,5
David Brown,47776,16,16,5,12,6
Emily Smith,78921,11,15,6,11,8
John Davis,48762,17,11,11,13,7
Alex Jones,53146,13,16,6,10,8
Jane Miller,117065,17,13,13,15,7
Michael Smith,112378,14,17,13,10,4
Laura Smith,115390,17,12,7,14,6
Laura Doe,62186,21,19,14,11,3
David Davis,77546,21,17,11,11,6
Sarah Jones,76812,24,13,12,14,8
Emily Taylor,68765,15,10,12,12,8
Laura Miller,115267,19,12,5,10,3
Jane Wilson,42584,22,20,6,14,7
Chris Wilson,81731,22,11,12,12,4
Michael Jones,62956,16,16,9,10,8
John Davis,87228,21,15,14,10,8
Laura Doe,67697,13,12,8,13,3
Emily Davis,115751,15,18,11,10,6
Anna Taylor,119055,24,14,7,14,5
David Wilson,109809,17,12,12,13,3
Michael Miller,116981,24,11,10,14,3
Chris Johnson,110783,23,10,6,10,8
Michael Davis,99228,19,11,10,15,6
David Johnson,105739,12,12,15,15,8
David Davis,47109,10,10,11,10,5
Emily Doe,68998,17,20,15,9,3
Emily Brown,42906,10,10,15,14,5
John Jones,108113,14,18,13,9,4
Chris Davis,88698,18,11,10,10,5
John Wilson,103985,14,18,11,9,4
Sarah Miller,49515,23,15,5,8,8
Emily Doe,114466,15,20,6,9,4
Emily Johnson,62993,18,13,9,13,7
Anna Jones,89336,21,20,13,8,7
Anna Wilson,42806,14,12,10,9,7
Emily Brown,79200,16,12,7,11,6
Anna Johnson,69426,25,15,6,9,7
John Taylor,67545,17,11,12,8,3
David Taylor,64859,21,10,12,12,6
Jane Davis,55120,14,15,14,12,3
Alex Davis,94894,23,19,10,15,5
Anna Jones,118503,13,12,9,9,8
Sarah Jones,95921,20,13,10,8,6
Michael Williams,86716,16,16,14,15,5
Emily Doe,83589,25,15,15,11,6
Chris Jones,91338,20,19,9,12,5
John Jones,81721,16,17,5,8,7
Sarah Taylor,105929,25,20,13,10,4
Sarah Davis,51794,25,13,13,10,4
Anna Doe,46335,20,16,10,12,6
David Davis,92660,12,13,10,9,4
Emily Williams,81676,11,11,5,12,3
Anna Smith,64939,10,14,6,12,4
Sarah Miller,118241,10,11,14,15,7
John Taylor,65817,14,14,5,13,4
Laura Doe,76877,13,12,10,13,3
Jane Williams,54582,14,13,13,15,8
Sarah Williams,110649,11,14,6,8,6
Laura Wilson,113416,10,19,10,8,8
Anna Smith,40076,22,15,7,10,5
Sarah Davis,116125,24,19,13,12,8
Jane Williams,57260,17,16,13,13,4
Laura Doe,83135,12,11,13,12,8
Chris Wilson,55584,25,17,7,15,6
Emily Jones,57231,11,11,15,12,6
Jane Brown,65467,11,14,7,13,4
Michael Jones,110300,17,14,5,11,8
Jane Doe,119854,17,15,7,10,4
Laura Davis,54526,23,17,7,15,5
Alex Taylor,78740,20,10,13,10,4
Jane Brown,64141,18,16,14,8,7
Jane Taylor,89654,14,12,15,13,8
Sarah Smith,59560,10,13,6,15,4
Michael Doe,99615,23,17,7,14,5
Chris Davis,81151,15,12,5,13,8
